average_salary,Location
5000000.0,"Rockwall, Texas, USA"
5000000.0,Jefferson WI USA
4973500.0,"Decatur, GA, United States"
4900000.0,"Bethlehem, New Hampshire"
4873821.2,Central California USA
4795000.0,"Devon, United Kingdom"
4714100.0,"Foster City , California"
4704046.25581395,"Columbus, Ohio, USA"
4669988.0,Albany/NY/United States
4504500.0,"Bettendorf, IA, USA"
4500000.0,Seattle area
4500000.0,"Purchase, New York, Westchester County"
4444800.0,Thunder Bay ON CANADA
4303650.0,(near) Harrisonburg/Virginia/USA
4254535.0,"Hertfordshire, UK"
4110000.0,"Lincoln, Lincolnshire, UK"
4060000.0,"Mechanicsburg, PA, USA"
3881981.66666667,Carson City NV
3836000.0,"Liverpool, UK"
3835402.0,Portage MI USA
3748666.66666667,Lake Forest IL USA
3705000.0,"Craig, AK USA"
3556666.66666667,Texarkana Texas
3551666.66666667,"Paramus, NJ"
3516298.47916667,"Albany, NY, USA"
3500000.0,Fairless Hills PA USA
3400000.0,"Yorba Linda, CA"
3288000.0,Warwickshire
3071000.0,"Ada, Oklahoma, USA"
3014000.0,"Worcestershire, UK"
3000000.0,"Worcestet, MA US"
2808500.0,"Norwich, Norfolk, UK"
2794683.2,"Marlborough, MA"
2735000.0,Denver Metro
2719200.0,"Santa Rosa Beach, Florida"
2716666.66666667,Taipei/Taiwan
2686600.0,"Hampton Roads, VA, USA"
2598857.66666667,"St PETERSBURG, Fl USA"
2545958.0,"SE Georgia, USA"
2415000.0,"Erlanger, KY"
2399932.5,"Edmonds, WA"
2397122.1754386,"NYC, NY, USA"
2369330.54545455,"Reston, VA, USA"
2309862.5,"Rockville, Maryland"
2297746.5,"Saint Cloud, MN, USA"
2265500.0,"Mt Ephraim, NJ"
2230884.0,"Manhattan Beach, CA, US"
2220770.0,"Gloucestershire, England, UK"
2121000.0,"San Leandro, CA, USA"
2118493.33333333,"Brussels, Belgium"
2100463.25,"Garden City, KS, USA"
2095000.0,Lake George NY USA
2082400.0,"Cardiff, United Kingdom"
2053500.0,Palo Alto California USA
2050000.0,Williamstown MA
1995333.33333333,"Dallastown, PA, USA"
1940800.0,"Miramar, FL"
1920333.33333333,"Northville, MI"
1896960.0,Comox/BC/Canada
1873027.75,"Huntington Beach, CA"
1862518.58823529,"Omaha, NE"
1849200.0,"Oregon City, Oregon"
1834785.71428571,"Boise, ID"
1820832.26666667,"Kitchener, Ontario"
1805671.42857143,"Beaumont, TX, USA"
1800333.33333333,"Monterey, CA"
1737563.93333333,"Olympia, WA USA"
1726050.0,"Palmerston North, New Zealand"
1724700.0,Thousand Oaks
1724475.0,"NYC, NY"
1707134.4,"Anaheim, CA, USA"
1703695.35714286,"Fairbanks, Alaska, USA"
1703176.25,EAST TEXAS
1700333.33333333,"Winchester, Virginia"
1700067.72222222,"Cupertino, CA, USA"
1685000.0,"Long Beach, CA, USA"
1677048.0,North East Ohio
1617741.93548387,Atlanta
1574460.23076923,Ashburn / VA / Usa
1562734.18181818,Florida
1557864.5,"Aberdeen, Scotland"
1556458.42857143,"Erie, PA, USA"
1556381.96078431,CA
1540300.0,Ogden/Utah/USA
1454940.0,Leicester United Kingdom
1444000.0,Prairieville Louisiana USA
1426748.0,"Metro Detroit, MI"
1423518.8313253,"San Antonio, TX, USA"
1364602.5,"Middletown NY, USA"
1357750.0,Las Cruces New Mexico
1324779.9,"Baton Rouge, LA, USA"
1309871.42857143,"Honolulu, HI"
1284020.0,"Jefferson City, MO USA"
1272540.0,Silicon Valley
1266267.0,"Pendleton, Oregon, USA"
1224964.185,Issaquah/WA/USA
1212875.0,"Auburn Hills, MI"
1187790.0,"Norwich, UK"
1159457.28888889,NYC
1127824.64516129,Dallas
1126770.44444444,"College Park, MD"
1114610.94444444,"Louisville, Kentucky, USA"
1097485.1,"Provo, Utah, USA"
1067395.33415233,"Minneapolis, MN, USA"
1064863.63636364,Alaska
1054217.6,Buellton/CA/USA
1041186.66666667,"Rockland, Maine, USA"
1038507.16666667,"Ohio, United States"
997500.0,"Buffalo, New York USA"
996904.0,"Reno, NV"
990178.0,"Dillon, Montana"
959600.0,Dayton Ohio
955876.695652174,"Providence, RI, USA"
920000.0,"Cincinanti, OH USA"
910003.0,Northeast
906024.461538462,"La Crosse, WI, USA"
900937.819230769,"London, England"
898175.0,"Kansas City, KS"
896982.571428571,Arizona/USA
888133.142857143,"Falls Church, VA"
887500.0,"Illinois, United States"
876280.0,Orem/Utah/USA
864636.0,"Surrey, UK"
844850.757575758,"Las Vegas, NV USA"
838428.571428571,Nashville
832333.333333333,"Ft Washington, Pa, USA"
831381.0,"Anchorage, AK, USA"
822702.6,Glenwood Springs/CO/USA
808245.454545455,"Tampa, FL, USA"
795576.923076923,"Tacoma, WA"
783500.0,"Dayton, OH, USA"
780249.6,Terrace BC Canada
776821.235294118,"Colorado, USA"
773968.0,"Cherry Hill, New Jersey, USA"
754597.611764706,"Edinburgh, Scotland"
750243.777777778,"Northampton, MA"
749426.071428571,"Winston-Salem, NC, USA"
718537.6,"Brighton, UK"
710829.333333333,Grand Forks ND
684542.214285714,Connecticut
662298.004,"Perth, Western Australia"
662200.166666667,"Eugene, OR, USA"
660750.0,"Ft Lauderdale, FL USA"
658970.0,Montana
657044.428571429,North Carolina
656435.416666667,Tulsa/Oklahoma/USA
653490.674347826,"Manchester, UK"
649600.441176471,Maine
637764.885714286,San Diego
634012.142857143,"Plano, TX, USA"
629217.0,"West Lafayette, Indiana, United States"
622858.34939759,"Wilmington, DE, USA"
616500.0,London/London/UK
615938.259259259,"Tallahassee, FL"
612963.5,Sarasota FL
611741.571428571,Greater Boston
607428.571428571,"Lawrence, KS"
603580.764705882,"Tulsa, OK, USA"
602700.419354839,Upstate NY
602458.1625,"PA, USA"
602401.533333333,"Edmonton, Alberta, Canada"
597570.0,"Irvine, CA, USA"
589219.333333333,"Durham, North Carolina, USA"
575983.306666667,"Phoenix, AZ, USA"
571731.583333333,10010
571207.227272727,"Memphis, TN USA"
562814.714285714,"London, UK"
561623.0,"Ft Worth, TX, USA"
